timestamp,elapsed_s,power_w,cpu_temp_c,p_core_max_mhz,p_core_avg_mhz,e_core_max_mhz,e_core_avg_mhz,gpu_act_mhz,gpu_cur_mhz,gpu_throttle_reasons,th_pl1,th_pl2,th_thermal,th_prochot
1787564022.899007,2705.124,0.0,77,4490,4293.5,3300,2817.5,300,300,none,0,0,0,0
1787564023.1504288,2705.409,0.0,94,4319,1975.2,3299,1532.9,0,300,none,0,0,0,0
1787564023.401576,2705.661,0.0,80,4500,3905.5,3299,1848.5,0,300,none,0,0,0,0
1787564023.6528592,2705.912,0.0,68,4500,3664.2,3309,2866.9,0,300,none,0,0,0,0
1787564023.9039526,2706.163,0.0,69,4500,1911.6,1940,592.5,0,300,none,0,0,0,0
1787564024.1549478,2706.414,0.0,73,4378,2929.1,400,400.0,0,300,none,0,0,0,0
1787564024.4060578,2706.665,0.0,60,4198,2164.5,400,400.0,0,300,none,0,0,0,0
1787564024.6571004,2706.917,0.0,90,4500,1659.5,1609,626.1,0,300,none,0,0,0,0
1787564024.9083369,2707.168,0.0,80,4475,1806.2,400,400.0,0,300,none,0,0,0,0
1787564025.1593764,2707.419,0.0,84,4425,3767.2,3286,2919.0,0,300,none,0,0,0,0
1787564025.4103396,2707.67,0.0,71,4468,1352.0,3298,762.2,1300,1300,none,0,0,0,0
1787564025.6613407,2707.921,0.0,90,4450,2159.2,1924,590.5,0,933,none,0,0,0,0
1787564025.9125345,2708.172,0.0,95,4333,1102.9,2032,648.8,0,483,none,0,0,0,0
1787564026.1634924,2708.423,0.0,60,3721,1495.9,2270,633.8,0,300,none,0,0,0,0
1787564026.4145265,2708.674,0.0,75,4448,1751.0,400,400.0,0,300,none,0,0,0,0
1787564026.665462,2708.925,0.0,71,4010,1991.2,1312,622.5,300,300,none,0,0,0,0
1787564026.9166691,2709.176,0.0,88,4469,1396.8,400,400.0,0,300,none,0,0,0,0
1787564027.1676064,2709.427,0.0,89,4499,1734.9,2589,673.6,0,300,none,0,0,0,0
1787564027.418782,2709.678,0.0,89,4499,1058.6,400,400.0,0,300,none,0,0,0,0
1787564027.6696768,2709.929,0.0,70,3895,1260.5,3235,754.4,0,300,none,0,0,0,0
1787564027.9207313,2710.18,0.0,74,4500,1892.5,400,400.0,0,300,none,0,0,0,0
1787564028.1716871,2710.431,0.0,72,4500,2326.4,400,400.0,0,300,none,0,0,0,0
1787564028.422883,2710.682,0.0,75,4499,1760.5,400,400.0,0,300,none,0,0,0,0
1787564028.6743517,2710.933,0.0,72,4257,2143.9,400,400.0,0,300,none,0,0,0,0
1787564028.925726,2711.185,0.0,77,4416,1729.5,3299,762.4,0,300,none,0,0,0,0
1787564029.1772823,2711.436,0.0,79,4500,2126.8,400,400.0,0,300,none,0,0,0,0
1787564029.428347,2711.688,0.0,74,4456,2124.2,467,408.4,0,300,none,0,0,0,0
1787564029.6798277,2711.939,0.0,80,4201,3098.1,3050,1160.4,0,300,none,0,0,0,0
1787564029.9311724,2712.19,0.0,92,4445,1980.1,948,468.5,0,300,none,0,0,0,0
1787564030.183055,2712.442,0.0,85,4200,2183.2,1645,555.6,0,300,none,0,0,0,0
1787564030.434674,2712.694,0.0,83,4200,2407.0,3299,1095.0,0,300,none,0,0,0,0
1787564030.6858444,2712.945,0.0,88,4200,1825.0,2107,613.1,0,300,none,0,0,0,0
1787564030.9370272,2713.196,0.0,93,4257,3232.0,3299,1579.0,0,300,none,0,0,0,0
1787564031.1880302,2713.447,0.0,95,4026,3179.2,3104,1738.0,0,300,none,0,0,0,0
1787564031.4393067,2713.699,0.0,93,4322,2623.4,400,400.0,0,300,none,0,0,0,0
1787564031.690465,2713.95,0.0,96,4213,2086.5,1329,550.9,0,300,none,0,0,0,0
1787564031.9416008,2714.201,0.0,88,4500,2110.8,2345,719.9,0,300,none,0,0,0,0
1787564032.1950974,2714.452,0.0,94,3900,2646.1,3092,1997.4,0,300,none,0,0,0,0
1787564032.4466755,2714.706,0.0,94,4000,3370.1,3101,2084.1,0,300,none,0,0,0,0
1787564032.7019668,2714.957,0.0,94,3901,3427.6,3094,2490.9,0,300,none,0,0,0,0
1787564032.9570613,2715.212,0.0,95,3873,3407.8,3099,2059.6,0,300,none,0,0,0,0
1787564033.4130719,2715.672,0.0,94,3606,3457.2,2800,2519.0,0,300,none,0,0,0,0
